name,type_code,type,place,district,state,latitude,longitude,source_id,village_id
Sajani,PHC,Primary Health Centre,"Malage Kh., KAGAL",Kolhapur,MAHARASHTRA,16.424029000149105,74.23397600017886,18074,178709
Vadanage,PHC,Primary Health Centre,"Bamani, KAGAL",Kolhapur,MAHARASHTRA,16.434407999683494,74.1257639996194,18084,178666
Nandani,PHC,Primary Health Centre,"Chikhali Kasaba, KAGAL",Kolhapur,MAHARASHTRA,16.434710999773607,74.32323300027103,18085,178679
Pulachi Shiroli,PHC,Primary Health Centre,"Sonali, KAGAL",Kolhapur,MAHARASHTRA,16.442372000240894,74.16525300076982,18091,178730
Herle,PHC,Primary Health Centre,"Savarde Bk., KAGAL",Kolhapur,MAHARASHTRA,16.445799000545936,74.19511299991564,18094,178724
Watangi,PHC,Primary Health Centre,"Valave Kh., KAGAL",Kolhapur,MAHARASHTRA,16.45910000045334,74.1551939994932,18106,178740
Walava,PHC,Primary Health Centre,"Valave Kh., KAGAL",Kolhapur,MAHARASHTRA,16.46045100080539,74.14844499988277,18109,178740
Alate,PHC,Primary Health Centre,"Banage, KAGAL",Kolhapur,MAHARASHTRA,16.46105500064936,74.24270800023628,18110,178667
Bhuye,PHC,Primary Health Centre,"Titawe, RADHANAGARI",Kolhapur,MAHARASHTRA,16.461748999622152,74.13339699985991,18111,179063
Sawarde,PHC,Primary Health Centre,"Sake, KAGAL",Kolhapur,MAHARASHTRA,16.493565000092417,74.20503300037673,18151,178722
Ambap,PHC,Primary Health Centre,"Nigave Khalsa, KARVIR",Kolhapur,MAHARASHTRA,16.504799999421586,74.15218799939733,18158,178819
Thikpurli,PHC,Primary Health Centre,"Thikpurli, RADHANAGARI",Kolhapur,MAHARASHTRA,16.504895000042247,74.12209000060012,18159,179062
Bhadole,PHC,Primary Health Centre,"Sake, KAGAL",Kolhapur,MAHARASHTRA,16.512109000604262,74.19537300020663,18166,178722
Bambwade,PHC,Primary Health Centre,"Khebavade, KARVIR",Kolhapur,MAHARASHTRA,16.522252999990858,74.21849000048809,18180,178796
